Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
1,CA-A CANCER JOURNAL FOR CLINICIANS,18594,115.84,0.06277,
2,NEW ENGLAND JOURNAL OF MEDICINE,268652,55.873,0.67724,
3,CHEMICAL REVIEWS,137600,46.568,0.22463,
4,LANCET,185361,45.217,0.39596,
5,NATURE REVIEWS DRUG DISCOVERY,23811,41.908,0.06024,
6,NATURE BIOTECHNOLOGY,45986,41.514,0.14944,
7,NATURE,617363,41.456,1.5014,
8,Annual Review of Immunology,16750,39.327,0.04565,
9,NATURE REVIEWS MOLECULAR CELL BIOLOGY,35928,37.806,0.11264,
10,NATURE REVIEWS CANCER,39868,37.4,0.10028,
11,NATURE REVIEWS GENETICS,29388,36.978,0.11705,
12,NATURE MATERIALS,64622,36.503,0.19787,
13,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,126479,35.289,0.26113,
14,NATURE REVIEWS IMMUNOLOGY,28938,34.985,0.0951,
15,Nature Nanotechnology,34387,34.048,0.15299,
16,SCIENCE,557558,33.611,1.22419,
17,CHEMICAL SOCIETY REVIEWS,81907,33.383,0.253,
18,Annual Review of Astronomy and Astrophysics,8462,33.346,0.02542,
19,Nature Photonics,23499,32.386,0.12961,
20,CELL,201108,32.242,0.57815,
21,NATURE METHODS,32342,32.072,0.17312,
22,NATURE REVIEWS NEUROSCIENCE,32989,31.427,0.08302,
23,Annual Review of Biochemistry,19927,30.283,0.04401,
24,REVIEWS OF MODERN PHYSICS,39402,29.604,0.12389,
25,NATURE GENETICS,85481,29.352,0.25836,
26,PROGRESS IN MATERIALS SCIENCE,8475,27.417,0.01558,
27,NATURE MEDICINE,62572,27.363,0.16322,
28,PHYSIOLOGICAL REVIEWS,24528,27.324,0.03834,
29,PROGRESS IN POLYMER SCIENCE,19454,26.932,0.03163,
30,Nature Chemistry,16973,25.325,0.09494,
31,LANCET ONCOLOGY,24861,24.69,0.10187,
32,NATURE REVIEWS MICROBIOLOGY,18866,23.574,0.06259,
33,CANCER CELL,27283,23.523,0.10699,
34,Annual Review of Plant Biology,16494,23.3,0.02246,
35,LANCET INFECTIOUS DISEASES,13161,22.433,0.04883,
36,ACCOUNTS OF CHEMICAL RESEARCH,53349,22.323,0.11466,
37,Cell Stem Cell,17720,22.268,0.10267,
38,TRENDS IN COGNITIVE SCIENCES,20396,21.965,0.04593,
38,TRENDS IN COGNITIVE SCIENCES,20396,21.965,0.04593,
40,LANCET NEUROLOGY,19384,21.896,0.06867,
41,Annual Review of Psychology,13101,21.81,0.02315,
41,Annual Review of Psychology,13101,21.81,0.02315,
43,IMMUNITY,37232,21.561,0.1466,
44,ENDOCRINE REVIEWS,13143,21.059,0.01613,
45,ADVANCES IN PHYSICS,5095,20.833,0.0083,
46,BEHAVIORAL AND BRAIN SCIENCES,7562,20.771,0.01106,
46,BEHAVIORAL AND BRAIN SCIENCES,7562,20.771,0.01106,
48,Energy & Environmental Science,36159,20.523,0.12666,
49,Nature Physics,21732,20.147,0.15378,
50,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,22152,20.033,0.03487,
51,NATURE IMMUNOLOGY,35403,20.004,0.13553,
52,NATURE CELL BIOLOGY,35734,19.679,0.12556,
53,Cancer Discovery,4605,19.453,0.03151,
54,Annual Review of Neuroscience,13226,19.32,0.02428,
55,Living Reviews in Relativity,1838,19.25,0.00631,
56,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,6443,19.22,0.01177,
57,Annual Review of Pathology-Mechanisms of Disease,3122,18.75,0.01334,
58,Annual Review of Physiology,8693,18.51,0.01687,
59,JOURNAL OF CLINICAL ONCOLOGY,133258,18.428,0.3474,
60,Annual Review of Pharmacology and Toxicology,7561,18.365,0.0117,
61,ANNALS OF INTERNAL MEDICINE,48356,17.81,0.10626,
62,ASTRONOMY AND ASTROPHYSICS REVIEW,1209,17.737,0.00684,
63,Living Reviews in Solar Physics,840,17.636,0.00605,
64,Cell Metabolism,18502,17.565,0.07934,
65,ADVANCED MATERIALS,128805,17.493,0.30007,
66,BMJ-British Medical Journal,89031,17.445,0.1694,
67,CLINICAL MICROBIOLOGY REVIEWS,13982,17.406,0.02015,
68,ARCHIVES OF INTERNAL MEDICINE,38021,17.333,0.06688,
69,PHARMACOLOGICAL REVIEWS,11630,17.099,0.01728,
70,ALDRICHIMICA ACTA,1097,17.083,0.00231,
71,REPORTS ON PROGRESS IN PHYSICS,12463,17.062,0.03678,
72,Advances in Anatomy Embryology and Cell Biology,424,17,0.00044,
73,Annual Review of Physical Chemistry,7749,16.842,0.01412,
74,Psychological Science in the Public Interest,685,16.833,0.00259,
75,GASTROENTEROLOGY,66614,16.716,0.13845,
76,Annual Review of Cell and Developmental Biology,9301,16.66,0.02361,
77,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,80926,16.503,0.21312,
78,TRENDS IN ECOLOGY & EVOLUTION,28654,16.196,0.05326,
79,Advanced Energy Materials,10129,16.146,0.03758,
80,NATURE NEUROSCIENCE,50204,16.095,0.15522,
81,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,2767,16.091,0.00427,
82,Science Translational Medicine,13031,15.843,0.09184,
83,EUROPEAN HEART JOURNAL SUPPLEMENTS,977,15.8,0.00196,
84,Annual Review of Genetics,7474,15.724,0.0206,
